#  Space group look-up table taken from R. Grosse Kunstleve web-site
#  Modified LJF - Jan 1998
#
# No.   Schoenflies <------ Hermann-Mauguin -----> Hall           Mult
#    set
  35        C2v^11  Cmm2                C m m 2     C 2 -2          8
  35:cab    C2v^11  A2mm                A 2 m m     A -2 2          8
  35:bca    C2v^11  Bm2m                B m 2 m     B -2 -2         8
  36        C2v^12  Cmc21               C m c 21    C 2c -2         8
  36:ba-c   C2v^12  Ccm21               C c m 21    C 2c -2c        8
  36:cab    C2v^12  A21ma               A 21 m a    A -2a 2a        8
  36:-cba   C2v^12  A21am               A 21 a m    A -2 2a         8
  36:bca    C2v^12  Bb21m               B b 21 m    B -2 -2b        8
  36:a-cb   C2v^12  Bm21b               B m 21 b    B -2b -2        8
  37        C2v^13  Ccc2                C c c 2     C 2 -2c         8
  37:cab    C2v^13  A2aa                A 2 a a     A -2a 2         8
  37:bca    C2v^13  Bb2b                B b 2 b     B -2b -2b       8
  38        C2v^14  Amm2                A m m 2     A 2 -2          8
  38:ba-c   C2v^14  Bmm2                B m m 2     B 2 -2          8
  38:cab    C2v^14  B2mm                B 2 m m     B -2 2          8
  38:-cba   C2v^14  C2mm                C 2 m m     C -2 2          8
  38:bca    C2v^14  Cm2m                C m 2 m     C -2 -2         8
  38:a-cb   C2v^14  Am2m                A m 2 m     A -2 -2         8
  39        C2v^15  Abm2                A b m 2     A 2 -2c         8
  39:ba-c   C2v^15  Bma2                B m a 2     B 2 -2c         8
  39:cab    C2v^15  B2cm                B 2 c m     B -2c 2         8
  39:-cba   C2v^15  C2mb                C 2 m b     C -2b 2         8
  39:bca    C2v^15  Cm2a                C m 2 a     C -2b -2b       8
  39:a-cb   C2v^15  Ac2m                A c 2 m     A -2c -2c       8
  40        C2v^16  Ama2                A m a 2     A 2 -2a         8
  40:ba-c   C2v^16  Bbm2                B b m 2     B 2 -2b         8
  40:cab    C2v^16  B2mb                B 2 m b     B -2b 2         8
  40:-cba   C2v^16  C2cm                C 2 c m     C -2c 2         8
  40:bca    C2v^16  Cc2m                C c 2 m     C -2c -2c       8
  40:a-cb   C2v^16  Am2a                A m 2 a     A -2a -2a       8
